职位,薪资,工作时间,公司,工作地点,所在城市
机器学习算法工程师,25k-50k,在校/应届,深圳市言羽科技有限公司,知春路盈都大厦,北京
算法工程师（机器学习）,15k-30k,1-3年,上海半见智能科技有限公司,天晖路,成都
推荐算法工程师,20k-40k,3-5年,深圳市万声文化科技有限公司,金迪世纪大厦A座15层1501室,深圳
算法工程师-BJ,20k-30k,1-3年,北京深演智能科技股份有限公司,东三环中路20号乐成中心A座9层,北京
算法工程师,20k-35k,不限,杭州玖欣物联科技有限公司,物联网街451号芯图大厦6楼,杭州
中级图像算法工程师,15k-30k,1-3年,浪淘金（北京）科技有限责任公司,成府路45号中关村智造大街B座2层,北京
图形算法工程师,20k-30k,3-5年,深圳市领异科技有限公司,龙华区民治大道1970科技小镇5栋608,深圳
HYK-运筹算法工程师,25k-40k,3-5年,顺丰科技有限公司,上海市虹口区海伦中心A座32楼,上海
数据挖掘工程师,20k-35k,3-5年,广州未来一手网络科技有限公司,立白中心7楼未来一手,广州
资深/高级nlp算法工程师,40k-50k,不限,上海泛微网络科技股份有限公司,三鲁公路3419号,上海
计算机视觉算法工程师,30k-50k,3-5年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
NLP算法工程师,15k-25k,1-3年,北京视野智慧数字科技有限公司,盈都大厦B座17层,北京
GPU算法优化工程师,30k-50k,1-3年,深圳元戎启行科技有限公司,深圳市福田区福保街道深港国际科技园6号楼,深圳
slam算法工程师,30k-60k,3-5年,北京京邦达贸易有限公司,永昌中路16号北京京东乾石科技有限公司,北京
自动驾驶仿真算法工程师,30k-60k,3-5年,北京京邦达贸易有限公司,永昌中路16号北京京东乾石科技有限公司,北京
三维重建算法工程师,30k-60k,3-5年,深圳市其域创新科技有限公司,彩讯科创,深圳
AI视觉算法工程师,30k-60k,不限,深圳市其域创新科技有限公司,彩讯科创,深圳
风控算法工程师,28k-45k,3-5年,五八同城信息技术有限公司,58,北京
搜索算法工程师（实习）,4k-6k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
三维智能分析算法工程师,25k-50k,3-5年,深圳市其域创新科技有限公司,彩讯科创,深圳
nlp/aigc/nlg算法工程师,40k-80k,3-5年,跨越星空（北京）科技有限公司,北京大学,杭州
